FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,GeoLocation,Emission_ID
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ce3,332010,Kilauea,30.2,19840607,19840607,POINT (-155.287 19.421),245
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ce2,332010,Kilauea,80.8,19840630,19840708,POINT (-155.287 19.421),246
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ce1,332010,Kilauea,29.8,19840728,19840728,POINT (-155.287 19.421),247
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ce0,332010,Kilauea,45.9,19840819,19840819,POINT (-155.287 19.421),248
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cdf,332010,Kilauea,37.9,19840919,19840919,POINT (-155.287 19.421),249
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cde,332010,Kilauea,15.2,19841102,19841102,POINT (-155.287 19.421),250
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cdd,332010,Kilauea,124.1,19841119,19841203,POINT (-155.287 19.421),251
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cdc,332010,Kilauea,47.9,19850103,19850103,POINT (-155.287 19.421),252
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cdb,332010,Kilauea,48.5,19850204,19850204,POINT (-155.287 19.421),253
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cda,332010,Kilauea,72.7,19850421,19850421,POINT (-155.287 19.421),254
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd9,332010,Kilauea,30.8,19850612,19850612,POINT (-155.287 19.421),255
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd8,332010,Kilauea,33.1,19850706,19850706,POINT (-155.287 19.421),256
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd7,332010,Kilauea,17.9,19850726,19850726,POINT (-155.287 19.421),257
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd6,332010,Kilauea,57.7,19850902,19850902,POINT (-155.287 19.421),258
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd5,332010,Kilauea,35.3,19850924,19850924,POINT (-155.287 19.421),259
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd4,332010,Kilauea,23.9,19851021,19851021,POINT (-155.287 19.421),260
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd3,332010,Kilauea,11,19851113,19851113,POINT (-155.287 19.421),261
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd2,332010,Kilauea,7.9,19860101,19860101,POINT (-155.287 19.421),262
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd1,332010,Kilauea,25,19860127,19860127,POINT (-155.287 19.421),263
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cd0,332010,Kilauea,37.4,19860222,19860222,POINT (-155.287 19.421),264
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ccf,332010,Kilauea,5.4,19860322,19860322,POINT (-155.287 19.421),265
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cce,332010,Kilauea,24.2,19860413,19860413,POINT (-155.287 19.421),266
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ccd,332010,Kilauea,36.2,19860507,19860507,POINT (-155.287 19.421),267
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ccc,332010,Kilauea,48,19860602,19860602,POINT (-155.287 19.421),268
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6ccb,332010,Kilauea,37.2,19860626,19860626,POINT (-155.287 19.421),269
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cca,332020,Mauna Loa,1197,19840325,19840325,POINT (-155.608 19.475),270
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc9,341090,Popocatepetl,7,19970703,19970703,POINT (-98.622 19.023),271
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc8,341090,Popocatepetl,10,19981125,19981125,POINT (-98.622 19.023),272
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc7,341090,Popocatepetl,49,20001215,20001219,POINT (-98.622 19.023),273
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc6,341090,Popocatepetl,17,20010123,20010123,POINT (-98.622 19.023),274
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc5,341090,Popocatepetl,4,20010429,20010429,POINT (-98.622 19.023),275
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc4,341120,"Chichon, El",8090,19820329,19820404,POINT (-93.228 17.36),276
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc3,342090,Fuego,1,20051227,20051227,POINT (-90.88 14.473),277
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc2,342090,Fuego,2,20070315,20070315,POINT (-90.88 14.473),278
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6cc1,342090,Fuego,2,20070701,20070701,POINT (-90.88 14.473),279
